celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score
V.Unbeatable,N/A,Dance Troupe,India,India,20,1,Winner,1,8.0,7.0,10.0,7.0,10.0,10.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,10.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,10.0,8.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,7.0,8.0,10.0,9.0,9.0
Mat Franco,N/A,Magician,Rhode Island,USA,25,1,Runner-up,2,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,10.0,9.0,7.0,10.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,7.0,8.0,7.0,10.0,9.0,9.0,7.0,10.0,8.0,9.0,10.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,7.0
Terry Fator,N/A,Ventriloquist,Texas,USA,42,1,3rd Place,3,10.0,8.0,10.0,10.0,7.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,10.0,10.0,8.0,9.0,7.0,8.0
Grace VanderWaal,N/A,Singer,New York,USA,12,1,Eliminated Week 5,4,10.0,8.0,10.0,10.0,10.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shin Lim,N/A,Magician,Canada,Canada,26,1,Eliminated Week 1,5,10.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Hadwin,N/A,Singer,UK,UK,13,1,Eliminated Week 1,6,10.0,10.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Zerdin,N/A,Ventriloquist,UK,UK,47,1,Eliminated Week 4,7,10.0,7.0,10.0,8.0,10.0,10.0,10.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenichi Ebina,N/A,Dance,Japan,Japan,38,1,Eliminated Week 2,8,9.0,9.0,8.0,10.0,7.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kodi Lee,N/A,Singer,California,USA,22,1,Eliminated Week 6,9,9.0,10.0,10.0,7.0,7.0,8.0,10.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,7.0,9.0,10.0,9.0,10.0,7.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darci Lynne,N/A,Ventriloquist,Oklahoma,USA,12,1,Eliminated Week 3,10,9.0,7.0,8.0,10.0,7.0,7.0,8.0,9.0,9.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
